order_id,customer_name,email,phone,product,category,quantity,price,order_date,status,country
1396,PATRICIA JOHNSON,patricia.johnson@yahoo.com,4149902672,Charger,Electronics,1.0,$1341.68,01/10/2023,CANCELLED,Canada
1190,,jennifer.garcia@outlook.com,,Webcam,Accessories ,2.0,,11/02/2024,delivered,Canada
1163,james wilson,james.wilson@yahoo.com,1786265600,Headphones,accessories,15.0,1077.37,2024-11-07,,
1102,John  Davis,john.davis@outlook.com,,Mouse,Mobile,18.0,331.72,2023-04-15,Pending,France
1362,PATRICIA MILLER,patricia.miller@gmail.com,N/A,Headphones,accessories,1.0,973.11,2023-11-14,shipped,Canada
1309,jennifer miller,jennifer.miller@yahoo.com,106-471-1162,Mouse, Electronics,1.0,$439.41,2024/10/08,Pending,USA
1133,Mary Jones,,9773264688,Monitor, Audio,1.0,$713.78,2024-10-24,Returned,UK
1004,barbara garcia,barbara.garcia@outlook.com,(758) 569-3340,Headphones,,12.0,645.51,2024-01-06,SHIPPED,France
1465,John Miller,john.miller@gmail.com,3162135740,Headphones, Audio,2.0,1128.16,09-05-2024,pending,USA
1119,JOHN JONES,john.jones@yahoo.com,(135) 728-5026,Charger, Audio,1.0,,21 May 2023,SHIPPED,Canada
1066,james johnson,james.johnson@yahoo.com,(430) 826-4694,Webcam,Computing,1.0,£954.41,05-09-2023,RETURNED,USA
1342,John Miller,john.miller@yahoo.com,N/A,Mouse,Electronics,1.0,$187.47,2023/01/24,RETURNED,France
1434,michael moore,michael.moore@outlook.com,(643) 772-3950,Keyboard,Computing ,3.0,898.77,30/10/2023,Shipped,Germany
1314,WILLIAM JOHNSON,william.johnson@gmail.com,,Keyboard,,2.0,£457.56,2023/07/15,SHIPPED,Canada
1247,JOHN BROWN,john.brown@yahoo.com,,Tablet,Electronics,2.0,624.7,2024-08-04,Shipped,France
1052,JAMES SMITH,N/A,N/A,Charger, Mobile,3.0,$1364.03,2023/11/26,CANCELLED,UK
1284,Robert  Miller,robert.miller@outlook.com,4689158738,Speaker,ACCESSORIES,3.0,$198.0,2023/06/10,Cancelled,France
1386,John Johnson,john.johnson@yahoo.com,958-312-7402,Charger,Electronics ,,1439.03,04 Aug 2023,cancelled,
1116,Robert  Garcia,robert.garcia@outlook.com,(434) 425-8417,Keyboard,electronics,8.0,167.91,18 Jun 2023,cancelled,France
1139,james brown,james.brown@outlook.com,N/A,Webcam,MOBILE,1.0,£1236.65,25 Oct 2023,RETURNED,Canada
1245,James Williams,,(556) 465-2515,Laptop,mobile,1.0,£1173.02,20/07/2023,DELIVERED,France
1282,linda moore,linda.moore@gmail.com,949-953-7418,Mouse,Electronics,3.0,£1273.68,07 Feb 2023,cancelled,Canada
1090,BARBARA DAVIS,barbara.davis@gmail.com,,Laptop,ACCESSORIES,1.0,882.62,03-20-2023,SHIPPED,UK
1281,mary williams,mary.williams@gmail.com,935-116-4083,Keyboard,audio,3.0,$1263.92,03-30-2023,Cancelled,
1319,BARBARA BROWN,barbara.brown@outlook.com,571-573-1640,Monitor,AUDIO,3.0,$921.48,2024-03-01,SHIPPED,France
1436,James  Jones,james.jones@yahoo.com,9962709782,Phone, Mobile,1.0,909.42,22 Jan 2023,DELIVERED,Germany
1091,MARY WILSON,mary.wilson@gmail.com,(337) 958-2245,Speaker, Mobile,2.0,£49.29,06 Apr 2024,shipped,Canada
1311,Jennifer  Garcia,jennifer.garcia@outlook.com,,Monitor,ACCESSORIES,1.0,£946.04,2023/05/10,returned,UK
1217,james johnson,james.johnson@gmail.com,8737511003,Headphones, Audio,3.0,925.28,2023-07-20,pending,Canada
1446,Michael  Miller,michael.miller@outlook.com,(419) 958-9552,Webcam, Electronics,1.0,£1418.51,27 May 2023,returned,France
1272,Barbara Jones,barbara.jones@gmail.com,N/A,Mouse, Mobile,1.0,384.22,06 Nov 2023,Pending,Canada
1024,Linda  Williams,linda.williams@gmail.com,N/A,Charger, Audio,,1278.31,13 Oct 2023,shipped,Canada
1271,BARBARA BROWN,barbara.brown@outlook.com,5282847693,Laptop,COMPUTING,11.0,$679.21,2024/01/14,Cancelled,USA
1351,WILLIAM JOHNSON,william.johnson@yahoo.com,,Tablet,ACCESSORIES,,1403.44,02-28-2023,DELIVERED,France
1189,william miller,william.miller@gmail.com,,Webcam,Audio,3.0,1055.31,2023-04-17,SHIPPED,France
1014,james garcia,james.garcia@outlook.com,,Headphones,,3.0,£42.06,2024-02-26,Pending,USA
1098,Linda  Johnson,linda.johnson@outlook.com,426-168-5919,Phone,ELECTRONICS,1.0,$1395.23,2024-06-12,Returned,Germany
1155,,robert.brown@outlook.com,,Laptop,electronics,,$1254.32,04 Jul 2024,DELIVERED,UK
1166,Barbara Wilson,barbara.wilson@outlook.com,634-530-7068,Webcam,audio,3.0,529.02,2024-03-11,,UK
1033,barbara wilson,barbara.wilson@gmail.com,(908) 974-7798,Webcam,Computing,2.0,1257.03,02 Jun 2023,returned,Germany
1221,barbara johnson,barbara.johnson@yahoo.com,,Speaker, Computing,2.0,804.87,25 Apr 2024,,Canada
1391,jennifer brown,jennifer.brown@gmail.com,N/A,Phone,Electronics ,9.0,493.68,2023/08/31,delivered,USA
1425,james johnson,james.johnson@yahoo.com,,Mouse,Accessories ,1.0,574.73,2023-03-21,RETURNED,Canada
1345,James Brown,james.brown@gmail.com,9769524526,Speaker,mobile,2.0,197.1,2023/03/18,pending,France
1203,William  Williams,william.williams@yahoo.com,,Keyboard,Audio,2.0,$1039.12,07/05/2023,DELIVERED,France
1056,LINDA BROWN,linda.brown@outlook.com,N/A,Webcam,Mobile ,1.0,$1202.88,14/09/2023,cancelled,Canada
1329,linda brown,invalid-email,N/A,Mouse,Audio ,13.0,111.5,08 May 2023,Returned,UK
1051,jennifer williams,jennifer.williams@gmail.com,302-277-3504,Headphones,Audio ,18.0,£966.27,10-04-2024,shipped,USA
1323,james garcia,james.garcia@outlook.com,3251983750,Laptop, Audio,2.0,$487.41,2024-10-01,returned,France
